person,x,y
2,994.9,528.4
2,313.3,358
2,205.9,442.2
2,183.8,449.1
2,416.1,402.3
2,470.3,465.1
2,505.1,479.2
2,623.1,471
2,547.8,249.5
2,507.9,159.5
2,197.7,140
2,464.9,122
2,504.6,554.3
2,701.9,549.7
2,690.6,532.1
2,596.5,461.2
2,597.7,488.6
2,602.7,495.7
2,504.2,534.5
2,585.5,628.4
2,586.2,674.6
2,731.3,682.2
2,697.3,767
2,765.7,759.4
2,782.1,702.5
2,601.8,503.3
2,521.4,408.6
2,597.5,426.3
2,695.1,266.4
2,591.3,436.7
2,340.9,565.9
2,503.6,521.8
2,757.9,606.2
2,561.8,511.1
2,734.8,608.3
2,350.4,741.5
2,423.9,708.8
2,527.5,312.1
2,577.5,492.7
2,365.6,422.5
2,493.7,467
2,522.3,450.7
2,759,614.3
2,210.2,611
2,614.3,261.1
2,701,269.1
2,658.2,793.5
2,378.3,394.9
2,318.5,350.8
2,283.3,357.4
2,543.1,483.1
2,723.9,530.6
2,646.2,552.6
2,651.1,512.9
2,522.4,291.4
2,830.4,571.2
2,659.5,770.5
2,715,891.9
2,738.7,904
2,347.1,406.4
2,506.4,199.9
2,624.9,432.8
2,284.4,811
2,360.4,687.7
2,520,560.9
2,74.8,476.9
2,532.8,159.3
2,482.3,155.6
2,874,323.8
2,798.3,274
2,950.1,455.7
2,564.4,502.8
2,752.7,517.3
2,904.4,571.6
2,474.8,245.4
2,633.7,272.3
2,103.4,485.4
2,110.6,469.1
2,483.1,648.5
2,750.8,787.4
2,313.5,886
2,462.3,597.9
2,584.8,406.8
2,567.9,144.1
2,600.7,43.8
2,639.9,378.6
2,685,344.1
2,461.4,265.6
2,242.4,347.7
2,106.4,468.9
2,434.5,813.4
2,491.8,800.9
2,533.2,840.3
2,614,522.1
2,603.6,470.4
2,712.5,653.8
2,241.6,811.5
2,237.8,663.8
2,437.8,266.9
2,563.8,245.2
2,678,275
2,891.7,344.7
2,608.5,133.6
2,590.5,539.6
2,718.7,447
2,594.2,850.1
2,573.6,496
2,641.2,382.6
2,784,472.9
2,419.4,658.5
2,849.9,558
2,834,342.4
2,518,276.2
2,459.2,252.7
2,572.1,373.2
2,594.6,453.6
2,586.2,323.2
2,345.1,305.5
2,545.8,110.4
2,485.1,52.6
2,494.2,382.4
2,506.5,317.2
2,458.5,303.7
2,496.3,714.1
2,221.5,493.8
2,192.8,428.4
2,136.3,634.2
2,258.1,775.1
2,336.7,717
2,231.9,652.7
2,208.6,663.6
2,422.9,860.4
2,773.4,917.5
2,726.3,375.2
2,610.6,452.3
2,954.9,312.3
2,201.1,487.1
2,256.8,459.6
2,323.7,361
2,442.7,325.1
2,421.3,325.1
2,230,493.8
2,194.7,473.1
2,478.1,465.8
2,587.6,641.5
2,521.4,522.8
2,526.1,310.8
2,794.3,600.2
2,554.2,573.6
2,547.3,558.3
2,656.8,650.1
2,587.4,563.5
2,452.7,715.1
2,495.3,369.2
2,497.9,431.5
2,507.8,357.1
2,569.1,431.7
2,878.4,449.6
2,309.8,755.3
2,375.8,673.5
2,608.4,494.2
2,782.3,457
2,859.3,419.3
2,442.1,223.8
2,501,167.2
2,651,125.8
2,774,133.5
2,834.7,423.7
2,820.1,406.6
2,500.2,802.9
2,621.2,758.3
2,282,379.6
2,184.3,537.8
2,251.6,596.1
2,358.2,748.9
2,346.1,704.8
2,450.7,833
2,329.4,234.3
2,128.1,377.6
2,661.6,584
2,673.1,505.8
2,392.6,692.8
2,388.5,672.5
2,580.8,443.9
2,697.8,598
2,921.9,638.7
2,731.7,581.1
2,843,600.8
2,830,535.3
2,732.3,524.2
2,681.5,417.5
2,454.7,282.4
2,493.1,171.1
2,222.6,252
2,497.1,614.5
2,457.7,614.7
2,430.1,567.3
2,413.9,869.2
2,508.5,789.4
2,658.2,491.7
2,593.5,490.6
2,618,642.5
2,636.2,607.9
2,671.8,597.9
2,544.6,478.5
2,390.2,824.2
2,370.2,858.5
2,439.1,676.8
2,283.6,787.5
2,832.6,629.3
2,569.5,373.4
2,699.7,506.8
2,854.1,586.3
2,662.4,536
2,650.7,327.6
2,640.6,289.3
2,544.5,463.4
2,618.9,428.3
2,753.5,404.3
2,532.5,372
2,461.5,862.4
2,528.7,776.6
2,640.6,781
2,694.1,545.8
2,617.4,720.4
2,369.5,786
2,436.1,714.6
2,612.9,673
2,320.7,285.3
2,434.4,338.3
2,630.2,416
2,351.6,615
2,390,647.7
2,663.8,825.2
2,548.1,526.8
2,661.4,888.2
2,560.6,563.3
2,790.6,671.7
2,554.4,454
2,578.2,596.8
2,614.4,697.7
2,667.1,754.2
2,938.4,651.3
2,573.3,232.1
2,647.7,271.7
2,580.7,224.9
2,525.8,110.4
2,235,527.7
2,234,470.4
2,26.4,484.9
2,302,334.5
2,375.2,304.8
2,515.7,421.2
2,469.2,788.8
2,441.8,762.9
2,333.4,775.4
2,292.4,740.9
2,578.3,584.8
2,523,616.7
2,469.4,550.6
2,854.6,564.2
2,547.3,544.2
2,493.7,658.9
2,755.5,791.8
2,537.8,646.2
2,490,595.5
2,521.6,595.5
2,591.1,769.5
2,416.8,307.7
2,540.9,464
2,553.1,485.9
2,379.1,738.8
2,528.9,525.9
2,568.6,669.4
2,555.5,148.5
2,581.4,201.9
2,233.2,814.1
2,302,598.2
2,362.2,438.8
2,622,503.8
2,791,654
2,598.9,887.7
2,544,560.2
2,600.7,335.8
2,517,501.1
2,534.3,461.3
2,406.5,759.5
2,485.1,631.8
2,604.2,726.4
2,540.3,499.2
2,597.6,170.7
2,608.7,154.8
2,699.1,905.3
2,713.4,827.5
2,711.2,736.8
2,786.2,723.8
2,615.5,663.8
2,582.5,293.1
2,535.8,264.3
2,535.7,456.9
2,743.1,654.2
2,556.6,447.2
2,319.9,848
2,487.3,614.9
2,471.5,452.9
2,468.1,509.5
2,477.2,823.2
2,895.5,512.3
2,331.8,553.3
2,614.3,579.7
2,615.3,323
2,597.6,355.2
2,379.4,139.5
2,831.4,431.7
2,600.8,438.3
2,810.3,519.2
2,636.6,164.8
2,410.2,570.9
2,321.2,538.6
2,250.5,265.2
2,507.6,461.4
2,516.7,162.1
2,473.4,103.4
2,503.2,491.4
2,522.2,698.9
2,531.9,624.1
2,543.7,245.5
2,566.3,163.9
2,596.9,717.5
2,557,764.3
2,568.2,758.4
2,350.9,440.7
2,326.3,427.2
2,587.3,458.4
2,552.4,540.6
2,610.1,580.3
2,330.5,740.8
2,189.5,754.5
2,463,938.6
2,545.9,918.7
2,365.5,282.1
2,591.4,941.8
2,581.2,890.7
2,527.4,516.2
2,634.8,762.8
2,576.2,732.4
2,602.5,531.8
2,543.5,181.6
2,567.5,245.7
