participantNumber, trialNum, TargetPresent, beta, seed, r, phi, respose
6, 1571, 1, 1.65, 18, 300, 225, 0
6, 1572, 1, 1.7, 29, 150, 315, 1
6, 1573, 1, 1.6, 1, 250, 180, 0
6, 1574, 1, 1.7, 25, 200, 180, 1
6, 1575, 1, 1.6, 6, 50, 45, 1
6, 1576, 1, 1.6, 2, 200, 270, 0
6, 1577, 1, 1.6, 10, 300, 270, 1
6, 1578, 1, 1.7, 24, 250, 45, 0
6, 1579, 1, 1.7, 24, 200, 315, 1
6, 1580, 1, 1.65, 20, 250, 315, 0
6, 1581, 0, 1.65, 152, NaN, NaN, 1
6, 1582, 1, 1.65, 10, 150, 45, 1
6, 1583, 1, 1.65, 12, 250, 90, 1
6, 1584, 1, 1.7, 30, 50, 90, 1
6, 1585, 1, 1.6, 1, 50, 90, 1
6, 1586, 1, 1.6, 1, 350, 45, 0
6, 1587, 1, 1.65, 15, 150, 45, 1
6, 1588, 1, 1.6, 6, 50, 180, 1
6, 1589, 1, 1.7, 29, 200, 45, 0
6, 1590, 1, 1.6, 9, 50, 90, 1
6, 1591, 1, 1.6, 4, 400, 135, 0
6, 1592, 1, 1.6, 8, 100, 270, 1
6, 1593, 1, 1.7, 22, 400, 180, 1
6, 1594, 1, 1.7, 23, 300, 135, 1
6, 1595, 1, 1.6, 5, 200, 135, 0
6, 1596, 1, 1.6, 6, 300, 270, 0
6, 1597, 0, 1.7, 318, NaN, NaN, 1
6, 1598, 1, 1.6, 2, 150, 180, 0
6, 1599, 1, 1.6, 2, 100, 135, 1
6, 1600, 1, 1.65, 13, 150, 225, 1
6, 1601, 1, 1.7, 22, 50, 270, 1
6, 1602, 0, 1.65, 126, NaN, NaN, 0
6, 1603, 1, 1.65, 14, 250, 225, 0
6, 1604, 1, 1.65, 15, 300, 270, 1
6, 1605, 1, 1.65, 13, 400, 225, 0
6, 1606, 1, 1.7, 20, 200, 90, 1
6, 1607, 1, 1.65, 20, 300, 90, 1
6, 1608, 1, 1.7, 24, 350, 0, 0
6, 1609, 1, 1.65, 12, 50, 315, 1
6, 1610, 1, 1.7, 26, 400, 180, 1
6, 1611, 1, 1.65, 18, 300, 0, 0
6, 1612, 1, 1.65, 17, 50, 0, 1
6, 1613, 1, 1.6, 9, 150, 315, 0
6, 1614, 1, 1.7, 22, 50, 135, 1
6, 1615, 1, 1.65, 14, 400, 45, 0
6, 1616, 1, 1.65, 16, 300, 135, 0
6, 1617, 1, 1.7, 29, 50, 225, 1
6, 1618, 1, 1.6, 1, 400, 90, 0
6, 1619, 1, 1.65, 10, 400, 180, 1
6, 1620, 1, 1.7, 23, 400, 90, 1
6, 1621, 1, 1.7, 28, 350, 90, 0
6, 1622, 1, 1.7, 19, 350, 0, 1
6, 1623, 1, 1.6, 2, 400, 315, 0
6, 1624, 1, 1.6, 7, 250, 135, 0
6, 1625, 0, 1.6, 97, NaN, NaN, 0
6, 1626, 1, 1.6, 1, 200, 225, 0
6, 1627, 1, 1.6, 7, 250, 270, 0
6, 1628, 1, 1.7, 21, 200, 0, 1
6, 1629, 1, 1.7, 22, 250, 180, 1
6, 1630, 1, 1.65, 17, 200, 225, 1
6, 1631, 1, 1.6, 2, 50, 270, 0
6, 1632, 0, 1.6, 103, NaN, NaN, 0
6, 1633, 1, 1.65, 15, 100, 225, 1
6, 1634, 1, 1.6, 5, 50, 45, 1
6, 1635, 1, 1.6, 2, 350, 0, 0
6, 1636, 0, 1.6, 62, NaN, NaN, 0
6, 1637, 1, 1.7, 20, 300, 180, 0
6, 1638, 1, 1.7, 23, 100, 45, 1
6, 1639, 1, 1.65, 13, 250, 270, 0
6, 1640, 1, 1.7, 22, 350, 90, 0
6, 1641, 1, 1.7, 19, 100, 135, 1
6, 1642, 0, 1.7, 210, NaN, NaN, 0
6, 1643, 1, 1.7, 29, 350, 135, 0
6, 1644, 0, 1.65, 161, NaN, NaN, 0
6, 1645, 0, 1.7, 281, NaN, NaN, 0
6, 1646, 1, 1.65, 16, 350, 135, 0
6, 1647, 1, 1.65, 16, 50, 45, 0
6, 1648, 1, 1.7, 21, 400, 270, 1
6, 1649, 1, 1.65, 19, 200, 90, 0
6, 1650, 1, 1.7, 20, 200, 315, 1
6, 1651, 1, 1.7, 30, 100, 45, 1
6, 1652, 0, 1.7, 264, NaN, NaN, 0
6, 1653, 1, 1.65, 19, 400, 180, 0
6, 1654, 1, 1.7, 27, 350, 315, 1
6, 1655, 1, 1.7, 19, 100, 225, 1
6, 1656, 1, 1.6, 8, 50, 225, 1
6, 1657, 1, 1.7, 21, 250, 0, 1
6, 1658, 1, 1.65, 17, 400, 225, 1
6, 1659, 0, 1.6, 118, NaN, NaN, 0
6, 1660, 1, 1.65, 18, 350, 90, 1
6, 1661, 1, 1.7, 19, 50, 45, 1
6, 1662, 1, 1.7, 27, 350, 0, 1
6, 1663, 1, 1.7, 22, 150, 315, 1
6, 1664, 1, 1.6, 1, 100, 45, 1
6, 1665, 1, 1.7, 23, 200, 225, 1
6, 1666, 1, 1.65, 10, 150, 315, 1
6, 1667, 1, 1.65, 17, 300, 225, 1
6, 1668, 1, 1.65, 12, 100, 225, 1
6, 1669, 1, 1.6, 9, 300, 225, 1
6, 1670, 1, 1.6, 6, 250, 180, 0
6, 1671, 1, 1.6, 2, 200, 315, 0
6, 1672, 1, 1.6, 8, 300, 270, 0
6, 1673, 1, 1.7, 22, 200, 135, 0
6, 1674, 1, 1.65, 15, 250, 135, 0
6, 1675, 0, 1.65, 158, NaN, NaN, 0
6, 1676, 1, 1.6, 1, 300, 180, 0
6, 1677, 1, 1.6, 4, 200, 225, 0
6, 1678, 0, 1.6, 64, NaN, NaN, 0
6, 1679, 1, 1.6, 7, 100, 90, 1
6, 1680, 1, 1.7, 26, 300, 135, 0
6, 1681, 1, 1.6, 8, 50, 135, 1
6, 1682, 1, 1.7, 26, 100, 225, 1
6, 1683, 1, 1.6, 1, 350, 270, 1
6, 1684, 1, 1.7, 19, 350, 45, 1
6, 1685, 1, 1.6, 6, 150, 270, 1
6, 1686, 1, 1.6, 9, 400, 90, 0
6, 1687, 1, 1.65, 10, 150, 135, 1
6, 1688, 1, 1.6, 3, 150, 0, 0
6, 1689, 1, 1.6, 2, 50, 225, 1
6, 1690, 1, 1.65, 18, 300, 135, 0
6, 1691, 1, 1.65, 10, 300, 315, 0
6, 1692, 0, 1.7, 301, NaN, NaN, 0
6, 1693, 1, 1.6, 9, 250, 135, 0
6, 1694, 1, 1.7, 23, 350, 315, 0
6, 1695, 0, 1.6, 61, NaN, NaN, 0
6, 1696, 1, 1.6, 8, 200, 180, 0
6, 1697, 1, 1.6, 2, 100, 0, 0
6, 1698, 1, 1.7, 22, 350, 135, 1
6, 1699, 1, 1.65, 20, 50, 225, 1
6, 1700, 1, 1.6, 5, 250, 135, 1
6, 1701, 1, 1.6, 9, 350, 90, 0
6, 1702, 1, 1.65, 15, 200, 0, 0
6, 1703, 1, 1.7, 21, 100, 90, 1
6, 1704, 1, 1.7, 20, 300, 45, 1
6, 1705, 1, 1.6, 2, 100, 45, 1
6, 1706, 1, 1.6, 9, 50, 135, 1
6, 1707, 1, 1.6, 10, 100, 135, 1
6, 1708, 1, 1.65, 15, 100, 270, 1
6, 1709, 1, 1.6, 10, 50, 180, 1
6, 1710, 0, 1.7, 262, NaN, NaN, 0
6, 1711, 1, 1.7, 22, 150, 45, 1
6, 1712, 1, 1.7, 30, 100, 180, 1
6, 1713, 1, 1.6, 1, 50, 180, 1
6, 1714, 1, 1.7, 20, 350, 180, 1
6, 1715, 1, 1.6, 1, 300, 0, 0
6, 1716, 0, 1.7, 316, NaN, NaN, 0
6, 1717, 1, 1.6, 2, 50, 0, 0
6, 1718, 1, 1.65, 15, 100, 0, 1
6, 1719, 1, 1.65, 13, 200, 0, 0
6, 1720, 1, 1.7, 29, 100, 225, 1
6, 1721, 1, 1.7, 25, 400, 270, 0
6, 1722, 1, 1.65, 13, 400, 270, 0
6, 1723, 1, 1.6, 5, 50, 180, 1
6, 1724, 1, 1.65, 11, 150, 315, 0
6, 1725, 1, 1.6, 6, 150, 180, 0
6, 1726, 1, 1.7, 28, 300, 135, 1
6, 1727, 1, 1.7, 23, 200, 0, 1
6, 1728, 1, 1.65, 13, 50, 180, 1
6, 1729, 1, 1.6, 4, 400, 45, 0
6, 1730, 1, 1.65, 15, 400, 270, 1
6, 1731, 1, 1.7, 26, 250, 135, 1
6, 1732, 1, 1.7, 19, 250, 270, 1
6, 1733, 1, 1.6, 7, 250, 90, 0
6, 1734, 1, 1.7, 25, 350, 225, 0
6, 1735, 0, 1.7, 275, NaN, NaN, 0
6, 1736, 1, 1.6, 4, 300, 225, 0
6, 1737, 1, 1.6, 3, 200, 135, 0
6, 1738, 1, 1.7, 30, 150, 315, 0
6, 1739, 1, 1.7, 19, 100, 45, 1
6, 1740, 1, 1.6, 7, 350, 270, 0
6, 1741, 1, 1.6, 2, 350, 225, 0
6, 1742, 0, 1.6, 68, NaN, NaN, 0
6, 1743, 1, 1.7, 23, 350, 0, 0
6, 1744, 0, 1.7, 277, NaN, NaN, 0
6, 1745, 1, 1.65, 15, 50, 90, 1
6, 1746, 1, 1.6, 10, 250, 270, 0
6, 1747, 1, 1.7, 25, 200, 0, 0
6, 1748, 1, 1.6, 10, 100, 225, 0
6, 1749, 1, 1.65, 17, 350, 315, 0
6, 1750, 1, 1.6, 9, 400, 225, 0
6, 1751, 1, 1.6, 5, 200, 45, 0
6, 1752, 1, 1.65, 13, 400, 135, 0
6, 1753, 1, 1.7, 29, 250, 90, 1
6, 1754, 1, 1.65, 18, 200, 270, 0
6, 1755, 1, 1.65, 19, 50, 90, 1
6, 1756, 1, 1.6, 6, 100, 225, 0
6, 1757, 1, 1.7, 30, 250, 180, 0
6, 1758, 1, 1.65, 15, 200, 270, 0
6, 1759, 0, 1.65, 174, NaN, NaN, 0
6, 1760, 1, 1.65, 10, 100, 180, 1
6, 1761, 0, 1.7, 313, NaN, NaN, 0
6, 1762, 1, 1.7, 23, 300, 180, 1
6, 1763, 1, 1.65, 17, 150, 315, 1
6, 1764, 1, 1.7, 27, 200, 90, 1
6, 1765, 1, 1.7, 26, 150, 315, 1
6, 1766, 1, 1.7, 24, 300, 0, 1
6, 1767, 1, 1.7, 27, 250, 90, 1
6, 1768, 1, 1.7, 24, 300, 225, 1
6, 1769, 1, 1.65, 16, 50, 90, 1
6, 1770, 1, 1.65, 19, 50, 180, 1
6, 1771, 0, 1.6, 105, NaN, NaN, 0
6, 1772, 1, 1.6, 9, 100, 0, 1
6, 1773, 1, 1.65, 14, 100, 135, 1
6, 1774, 1, 1.65, 15, 350, 135, 0
6, 1775, 1, 1.7, 26, 400, 270, 1
6, 1776, 1, 1.6, 8, 50, 180, 1
6, 1777, 1, 1.65, 18, 400, 0, 0
6, 1778, 1, 1.7, 23, 150, 135, 1
6, 1779, 1, 1.6, 8, 400, 45, 0
6, 1780, 1, 1.7, 30, 50, 135, 1
6, 1781, 1, 1.65, 20, 50, 135, 1
6, 1782, 1, 1.7, 24, 250, 90, 1
6, 1783, 1, 1.6, 6, 250, 0, 0
6, 1784, 1, 1.7, 26, 50, 180, 1
6, 1785, 1, 1.7, 27, 350, 270, 1
6, 1786, 1, 1.7, 26, 200, 225, 1
6, 1787, 0, 1.6, 43, NaN, NaN, 0
6, 1788, 1, 1.6, 4, 150, 135, 1
6, 1789, 1, 1.65, 12, 50, 135, 1
6, 1790, 1, 1.65, 13, 350, 180, 0
6, 1791, 1, 1.7, 26, 250, 0, 1
6, 1792, 1, 1.65, 18, 350, 0, 1
6, 1793, 1, 1.6, 3, 100, 90, 0
6, 1794, 1, 1.6, 6, 350, 0, 0
6, 1795, 1, 1.6, 10, 150, 225, 0
6, 1796, 1, 1.65, 12, 200, 135, 0
6, 1797, 1, 1.6, 5, 100, 270, 0
6, 1798, 1, 1.6, 8, 350, 135, 0
6, 1799, 1, 1.6, 3, 350, 135, 0
6, 1800, 1, 1.6, 4, 150, 270, 1
6, 1801, 1, 1.6, 9, 100, 270, 0
6, 1802, 1, 1.6, 9, 350, 270, 0
6, 1803, 1, 1.7, 25, 50, 180, 1
6, 1804, 1, 1.65, 12, 300, 135, 0
6, 1805, 1, 1.65, 13, 300, 225, 0
6, 1806, 1, 1.65, 13, 300, 315, 0
6, 1807, 1, 1.65, 11, 300, 315, 0
6, 1808, 1, 1.6, 9, 400, 45, 0
6, 1809, 1, 1.7, 21, 350, 315, 0
6, 1810, 1, 1.65, 13, 100, 45, 1
6, 1811, 1, 1.7, 22, 300, 270, 1
6, 1812, 1, 1.7, 24, 100, 180, 1
6, 1813, 0, 1.65, 118, NaN, NaN, 0
6, 1814, 1, 1.7, 23, 50, 135, 1
6, 1815, 0, 1.7, 303, NaN, NaN, 0
6, 1816, 1, 1.7, 29, 50, 90, 1
6, 1817, 1, 1.6, 10, 150, 180, 0
6, 1818, 1, 1.65, 18, 300, 270, 0
6, 1819, 1, 1.7, 30, 250, 315, 0
6, 1820, 1, 1.6, 5, 200, 90, 1
6, 1821, 1, 1.65, 11, 200, 45, 0
6, 1822, 1, 1.7, 22, 100, 270, 1
6, 1823, 1, 1.7, 27, 400, 0, 1
